id_observation;id_observation_sinp;id_releve;id_releve_sinp;code_perso;id_releve_type;lib_biblio;nom_herbier;nom_org_f;lib_releve_methode;date_releve_deb;date_releve_fin;nom_obs;id_precision;resolution;code_gps;id_maille_inpn_5;id_maille_inpn_10;x_l93;y_l93;lon_wgs84;lat_wgs84;insee_comm;commune;insee_dept;lieudit;comm_loc;pays;alti_inf;alti_calc;alti_sup;surface;plage_surface;comm_milieu;lib_geologie;lib_lithologie;comm_litho;lib_exposition;pente;plage_pente;cd_hab_eunis;lib_hab_eunis;lib_hab_ch;cd_hab_ch;lib_hab_sbf;cd_hab_sbf;lib_syntaxon;cd_ref_phyto;rec_total_pl;haut_total;rec_arbo_pl;haut_arbo;rec_arbu_pl;haut_arbu;rec_sarb_pl;haut_sarb;rec_herba_pl;haut_herba;rec_crypto_pl;haut_crypto;substr_roch_pl;substr_bloc_pl;substr_cail_pl;substr_terr_pl;substr_grav_pl;substr_sabl_pl;substr_liti_pl;substr_tuf_pl;nom_cite;cd_nom;nom_complet;cd_ref;nom_reconnu;rang;tax_type;famille;nombre_pieds;plage_nb_pieds;lib_strate;lib_phenologie1;lib_phenologie2;lib_deg_nat;abondance;sociab;lib_herbier;part_herbier1;comm_taxon;meta_original_id_obs;nom_programme;lib_org_comm;meta_comm;meta_original_id_rel;meta_original_bdd;sinp_dspublique;valid_reg
78353;eb215d32-8d82-11e7-885f-1cc1dee9999c;8702;fc0bb6df-8d7b-11e7-885f-1cc1dee9999c;Rel 43;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;26/07/2004;26/07/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704426;6202742;3.05416005952799;42.9240687548344;11202;Leucate;11;PLATEAU DE LEUCATE;Versant Sud du Cap des Trois Frères, en venant de l'Anse du Paradis. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;6;20;10;;;Jeune Pineraie à Pin d'Alep - Cor. 83.31;;;Substrat : Marnes et blocs rocheux;Sud-Est;;27° à 44°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;50-75% (70%);;;;;;;;;;;;;;;;;;;;Smilax aspera;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;1;;;;;8906;;;;8906;RELEVE11.txt;;Probable
78354;eb2162d4-8d82-11e7-885f-1cc1dee9999c;8702;fc0bb6df-8d7b-11e7-885f-1cc1dee9999c;Rel 43;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;26/07/2004;26/07/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704426;6202742;3.05416005952799;42.9240687548344;11202;Leucate;11;PLATEAU DE LEUCATE;Versant Sud du Cap des Trois Frères, en venant de l'Anse du Paradis. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;6;20;10;;;Jeune Pineraie à Pin d'Alep - Cor. 83.31;;;Substrat : Marnes et blocs rocheux;Sud-Est;;27° à 44°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;50-75% (70%);;;;;;;;;;;;;;;;;;;;Aphyllanthes monspeliensis;83171;Aphyllanthes monspeliensis L., 1753;83171;Aphyllanthes monspeliensis L., 1753;ES;P;Asparagaceae;;;Non précisée;;;;1;;;;;8906;;;;8906;RELEVE11.txt;;Probable
78994;eb2f913a-8d82-11e7-885f-1cc1dee9999c;8723;fc0c3967-8d7b-11e7-885f-1cc1dee9999c;Rel 64;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;08/09/2004;08/09/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704259;6201278.99999999;3.05210470196739;42.9109132935761;11202;Leucate;11;PLATEAU DE LEUCATE;Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;30;34;30;;;Bois de Pin d'Alep (perchis dense) - Cor. 83.31;;;Substrat : Calcaire - Type de sol : Rendzine;Nord-Ouest;;1° à 5°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (95%);;;;;;;;;;;;;;;;;;;;Aphyllanthes monspeliensis;83171;Aphyllanthes monspeliensis L., 1753;83171;Aphyllanthes monspeliensis L., 1753;ES;P;Asparagaceae;;;Non précisée;;;;P;;;;;8927;;;;8927;RELEVE11.txt;;Probable
79008;eb2fdfdf-8d82-11e7-885f-1cc1dee9999c;8723;fc0c3967-8d7b-11e7-885f-1cc1dee9999c;Rel 64;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;08/09/2004;08/09/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704259;6201278.99999999;3.05210470196739;42.9109132935761;11202;Leucate;11;PLATEAU DE LEUCATE;Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;30;34;30;;;Bois de Pin d'Alep (perchis dense) - Cor. 83.31;;;Substrat : Calcaire - Type de sol : Rendzine;Nord-Ouest;;1° à 5°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (95%);;;;;;;;;;;;;;;;;;;;Quercus ilex;116704;Quercus ilex L., 1753;116704;Quercus ilex L., 1753;ES;P;Fagaceae;;;Non précisée;;;;P;;;;;8927;;;;8927;RELEVE11.txt;;Probable
79010;eb2feb04-8d82-11e7-885f-1cc1dee9999c;8723;fc0c3967-8d7b-11e7-885f-1cc1dee9999c;Rel 64;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;08/09/2004;08/09/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704259;6201278.99999999;3.05210470196739;42.9109132935761;11202;Leucate;11;PLATEAU DE LEUCATE;Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;30;34;30;;;Bois de Pin d'Alep (perchis dense) - Cor. 83.31;;;Substrat : Calcaire - Type de sol : Rendzine;Nord-Ouest;;1° à 5°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (95%);;;;;;;;;;;;;;;;;;;;Smilax aspera;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;P;;;;;8927;;;;8927;RELEVE11.txt;;Probable
79040;eb3098ff-8d82-11e7-885f-1cc1dee9999c;8726;fc0c4b93-8d7b-11e7-885f-1cc1dee9999c;Rel 67;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;08/09/2004;08/09/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703819;6203030;3.04673441198625;42.9266621878069;11202;Leucate;11;PLATEAU DE LEUCATE;A l'est du point 66. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;54;53;54;;;Bois de Pin d'Alep - Cor. 83.31;;;Substrat : Calcaire - Type de sol : Rendzine;Est;;< à 1°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (80%);;;;;;;;;;;;;;;;;;;;Helichrysum stoechas;101101;Helichrysum stoechas (L.) Moench, 1794;101101;Helichrysum stoechas (L.) Moench, 1794;ES;P;Asteraceae;;;Non précisée;;;;P;;;;;8930;;;;8930;RELEVE11.txt;;Probable
79046;eb30bb7e-8d82-11e7-885f-1cc1dee9999c;8726;fc0c4b93-8d7b-11e7-885f-1cc1dee9999c;Rel 67;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;08/09/2004;08/09/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703819;6203030;3.04673441198625;42.9266621878069;11202;Leucate;11;PLATEAU DE LEUCATE;A l'est du point 66. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;54;53;54;;;Bois de Pin d'Alep - Cor. 83.31;;;Substrat : Calcaire - Type de sol : Rendzine;Est;;< à 1°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (80%);;;;;;;;;;;;;;;;;;;;Smilax aspera;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;1;;;;;8930;;;;8930;RELEVE11.txt;;Probable
79093;eb31c735-8d82-11e7-885f-1cc1dee9999c;8731;fc0c69d9-8d7b-11e7-885f-1cc1dee9999c;Rel 72;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;08/09/2004;08/09/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703589;6203161;3.0439207154274;42.9278414426499;11202;Leucate;11;PLATEAU DE LEUCATE;Fort de la Haute-Franqui. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;30;52;30;;;Bois de Pin d'Alep - Cor. 83.31;;;Substrat : Marnes et rochers calcaires fixés - Type de sol : Marno-calcaire;Nord Nord-Est;;1° à 5°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (80%);;;;;;;;;;;;;;;;;;;;Aphyllanthes monspeliensis;83171;Aphyllanthes monspeliensis L., 1753;83171;Aphyllanthes monspeliensis L., 1753;ES;P;Asparagaceae;;;Non précisée;;;;P;;;;;8935;;;;8935;RELEVE11.txt;;Probable
79108;eb321ccf-8d82-11e7-885f-1cc1dee9999c;8731;fc0c69d9-8d7b-11e7-885f-1cc1dee9999c;Rel 72;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;08/09/2004;08/09/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703589;6203161;3.0439207154274;42.9278414426499;11202;Leucate;11;PLATEAU DE LEUCATE;Fort de la Haute-Franqui. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;30;52;30;;;Bois de Pin d'Alep - Cor. 83.31;;;Substrat : Marnes et rochers calcaires fixés - Type de sol : Marno-calcaire;Nord Nord-Est;;1° à 5°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (80%);;;;;;;;;;;;;;;;;;;;Smilax aspera;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;1;;;;;8935;;;;8935;RELEVE11.txt;;Probable
79535;eb3b9ab7-8d82-11e7-885f-1cc1dee9999c;8744;fc0cbab6-8d7b-11e7-885f-1cc1dee9999c;Rel 85;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;17/09/2004;17/09/2004;BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703972;6202261;3.04860093284745;42.9197458559148;11202;Leucate;11;PLATEAU DE LEUCATE;Pech Roux. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;43;42;43;;;Plateau. Plantation Pin d'Alep - Cor. 83.31;;;Substrat : Sable et calcaire;Sud;;< à 1°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (100%);;;;;;;;;;;;;;;;;;;;Quercus ilex;116704;Quercus ilex L., 1753;116704;Quercus ilex L., 1753;ES;P;Fagaceae;;;Non précisée;;;;P;;;;;8948;;;;8948;RELEVE11.txt;;Probable
79539;eb3bb104-8d82-11e7-885f-1cc1dee9999c;8744;fc0cbab6-8d7b-11e7-885f-1cc1dee9999c;Rel 85;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;17/09/2004;17/09/2004;BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703972;6202261;3.04860093284745;42.9197458559148;11202;Leucate;11;PLATEAU DE LEUCATE;Pech Roux. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;43;42;43;;;Plateau. Plantation Pin d'Alep - Cor. 83.31;;;Substrat : Sable et calcaire;Sud;;< à 1°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (100%);;;;;;;;;;;;;;;;;;;;Sedum sediforme;122254;Sedum sediforme (Jacq.) Pau, 1909;122254;Sedum sediforme (Jacq.) Pau, 1909;ES;P;Crassulaceae;;;Non précisée;;;;P;;;;;8948;;;;8948;RELEVE11.txt;;Probable
79540;eb3bb698-8d82-11e7-885f-1cc1dee9999c;8744;fc0cbab6-8d7b-11e7-885f-1cc1dee9999c;Rel 85;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;17/09/2004;17/09/2004;BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703972;6202261;3.04860093284745;42.9197458559148;11202;Leucate;11;PLATEAU DE LEUCATE;Pech Roux. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;43;42;43;;;Plateau. Plantation Pin d'Alep - Cor. 83.31;;;Substrat : Sable et calcaire;Sud;;< à 1°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (100%);;;;;;;;;;;;;;;;;;;;Smilax aspera;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;1;;;;;8948;;;;8948;RELEVE11.txt;;Probable
79563;eb3c3955-8d82-11e7-885f-1cc1dee9999c;8745;fc0cc0dc-8d7b-11e7-885f-1cc1dee9999c;Rel 86;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;17/09/2004;17/09/2004;BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;703859;6201900;3.04721563700562;42.9165000683687;11202;Leucate;11;PLATEAU DE LEUCATE;Pech Roux au Sud. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;45;48;45;;;Plateau. Pinède - Cor. 83.31;;;Substrat : Calcaire - Type de sol : Rendzine;Indéfinie;;;;;;;;;Pistacio lentisci - Rhamnetalia alaterni;562;>75% (100%);;;;;;;;;;;;;;;;;;;;Quercus ilex;116704;Quercus ilex L., 1753;116704;Quercus ilex L., 1753;ES;P;Fagaceae;;;Non précisée;;;;P;;;;;8949;;;;8949;RELEVE11.txt;;Probable
